"","state_to","state_from","flow","year","st_to","st_from"
"104","Arizona","Alaska",1836,2005,"AZ","AK"
"105","Arizona","Arkansas",1845,2005,"AZ","AR"
"106","Arizona","California",94296,2005,"AZ","CA"
"107","Arizona","Colorado",11512,2005,"AZ","CO"
"108","Arizona","Connecticut",1809,2005,"AZ","CT"
"109","Arizona","Delaware",240,2005,"AZ","DE"
"110","Arizona","District of Columbia",1182,2005,"AZ","DC"
"111","Arizona","Florida",7184,2005,"AZ","FL"
"112","Arizona","Georgia",630,2005,"AZ","GA"
"113","Arizona","Hawaii",1216,2005,"AZ","HI"
"114","Arizona","Idaho",2940,2005,"AZ","ID"
"115","Arizona","Illinois",11523,2005,"AZ","IL"
"116","Arizona","Indiana",3724,2005,"AZ","IN"
"117","Arizona","Iowa",1551,2005,"AZ","IA"
"118","Arizona","Kansas",1917,2005,"AZ","KS"
"119","Arizona","Kentucky",949,2005,"AZ","KY"
"120","Arizona","Louisiana",1577,2005,"AZ","LA"
"121","Arizona","Maine",401,2005,"AZ","ME"
"122","Arizona","Maryland",3119,2005,"AZ","MD"
"123","Arizona","Massachusetts",2213,2005,"AZ","MA"
"124","Arizona","Michigan",8529,2005,"AZ","MI"
"125","Arizona","Minnesota",4569,2005,"AZ","MN"
"126","Arizona","Mississippi",1323,2005,"AZ","MS"
"127","Arizona","Missouri",2364,2005,"AZ","MO"
"128","Arizona","Montana",1689,2005,"AZ","MT"
"129","Arizona","Nebraska",2716,2005,"AZ","NE"
"130","Arizona","Nevada",10080,2005,"AZ","NV"
"131","Arizona","New Hampshire",809,2005,"AZ","NH"
"132","Arizona","New Jersey",4790,2005,"AZ","NJ"
"133","Arizona","New Mexico",11561,2005,"AZ","NM"
"134","Arizona","New York",6756,2005,"AZ","NY"
"135","Arizona","North Carolina",2935,2005,"AZ","NC"
"136","Arizona","North Dakota",1314,2005,"AZ","ND"
"137","Arizona","Ohio",5640,2005,"AZ","OH"
"138","Arizona","Oklahoma",2264,2005,"AZ","OK"
"139","Arizona","Oregon",5572,2005,"AZ","OR"
"140","Arizona","Pennsylvania",5993,2005,"AZ","PA"
"141","Arizona","Puerto Rico",0,2005,"AZ","PR"
"142","Arizona","Rhode Island",594,2005,"AZ","RI"
"143","Arizona","South Carolina",1474,2005,"AZ","SC"
"144","Arizona","South Dakota",841,2005,"AZ","SD"
"145","Arizona","Tennessee",4889,2005,"AZ","TN"
"146","Arizona","Texas",17452,2005,"AZ","TX"
"147","Arizona","Utah",7086,2005,"AZ","UT"
"148","Arizona","Vermont",315,2005,"AZ","VT"
"149","Arizona","Virginia",4196,2005,"AZ","VA"
"150","Arizona","Washington",10335,2005,"AZ","WA"
"151","Arizona","West Virginia",527,2005,"AZ","WV"
"152","Arizona","Wisconsin",7798,2005,"AZ","WI"
"153","Arizona","Wyoming",1458,2005,"AZ","WY"
"154","Arkansas","Alabama",1894,2005,"AR","AL"
"155","Arkansas","Alaska",660,2005,"AR","AK"
"156","Arkansas","Arizona",1266,2005,"AR","AZ"
"157","Arkansas","California",6167,2005,"AR","CA"
"158","Arkansas","Colorado",1999,2005,"AR","CO"
"159","Arkansas","Connecticut",66,2005,"AR","CT"
"160","Arkansas","Delaware",0,2005,"AR","DE"
"161","Arkansas","District of Columbia",0,2005,"AR","DC"
"162","Arkansas","Florida",5223,2005,"AR","FL"
"163","Arkansas","Georgia",1082,2005,"AR","GA"
"164","Arkansas","Hawaii",522,2005,"AR","HI"
"165","Arkansas","Idaho",171,2005,"AR","ID"
"166","Arkansas","Illinois",3618,2005,"AR","IL"
"167","Arkansas","Indiana",1417,2005,"AR","IN"
"168","Arkansas","Iowa",394,2005,"AR","IA"
"169","Arkansas","Kansas",1269,2005,"AR","KS"
"170","Arkansas","Kentucky",639,2005,"AR","KY"
"171","Arkansas","Louisiana",6515,2005,"AR","LA"
"172","Arkansas","Maine",16,2005,"AR","ME"
"173","Arkansas","Maryland",43,2005,"AR","MD"
"174","Arkansas","Massachusetts",1421,2005,"AR","MA"
"175","Arkansas","Michigan",973,2005,"AR","MI"
"176","Arkansas","Minnesota",496,2005,"AR","MN"
"177","Arkansas","Mississippi",4238,2005,"AR","MS"
"178","Arkansas","Missouri",9701,2005,"AR","MO"
"179","Arkansas","Montana",73,2005,"AR","MT"
"180","Arkansas","Nebraska",590,2005,"AR","NE"
"181","Arkansas","Nevada",431,2005,"AR","NV"
"182","Arkansas","New Hampshire",0,2005,"AR","NH"
"183","Arkansas","New Jersey",483,2005,"AR","NJ"
"184","Arkansas","New Mexico",1108,2005,"AR","NM"
"185","Arkansas","New York",957,2005,"AR","NY"
"186","Arkansas","North Carolina",838,2005,"AR","NC"
"187","Arkansas","North Dakota",136,2005,"AR","ND"
"188","Arkansas","Ohio",794,2005,"AR","OH"
"189","Arkansas","Oklahoma",8670,2005,"AR","OK"
"190","Arkansas","Oregon",788,2005,"AR","OR"
"191","Arkansas","Pennsylvania",695,2005,"AR","PA"
"192","Arkansas","Puerto Rico",33,2005,"AR","PR"
"193","Arkansas","Rhode Island",0,2005,"AR","RI"
"194","Arkansas","South Carolina",1770,2005,"AR","SC"
"195","Arkansas","South Dakota",337,2005,"AR","SD"
"196","Arkansas","Tennessee",5090,2005,"AR","TN"
"197","Arkansas","Texas",19937,2005,"AR","TX"
"198","Arkansas","Utah",293,2005,"AR","UT"
"199","Arkansas","Vermont",0,2005,"AR","VT"
"200","Arkansas","Virginia",1355,2005,"AR","VA"
"201","Arkansas","Washington",1062,2005,"AR","WA"
"202","Arkansas","West Virginia",59,2005,"AR","WV"
"203","Arkansas","Wisconsin",1542,2005,"AR","WI"
"204","Arkansas","Wyoming",41,2005,"AR","WY"
"205","California","Alabama",4375,2005,"CA","AL"
"206","California","Alaska",5274,2005,"CA","AK"
"207","California","Arizona",28156,2005,"CA","AZ"
"208","California","Arkansas",2481,2005,"CA","AR"
"209","California","Colorado",14321,2005,"CA","CO"
"210","California","Connecticut",7248,2005,"CA","CT"
"211","California","Delaware",807,2005,"CA","DE"
"212","California","District of Columbia",3472,2005,"CA","DC"
"213","California","Florida",25252,2005,"CA","FL"
"214","California","Georgia",9788,2005,"CA","GA"
"215","California","Hawaii",10706,2005,"CA","HI"
"216","California","Idaho",5123,2005,"CA","ID"
"217","California","Illinois",15848,2005,"CA","IL"
"218","California","Indiana",5611,2005,"CA","IN"
"219","California","Iowa",4766,2005,"CA","IA"
"220","California","Kansas",4922,2005,"CA","KS"
"221","California","Kentucky",2829,2005,"CA","KY"
"222","California","Louisiana",7383,2005,"CA","LA"
"223","California","Maine",1056,2005,"CA","ME"
"224","California","Maryland",6634,2005,"CA","MD"
"225","California","Massachusetts",11032,2005,"CA","MA"
"226","California","Michigan",10073,2005,"CA","MI"
"227","California","Minnesota",6502,2005,"CA","MN"
"228","California","Mississippi",2660,2005,"CA","MS"
"229","California","Missouri",8504,2005,"CA","MO"
"230","California","Montana",2605,2005,"CA","MT"
"231","California","Nebraska",3463,2005,"CA","NE"
"232","California","Nevada",28299,2005,"CA","NV"
"233","California","New Hampshire",1109,2005,"CA","NH"
"234","California","New Jersey",11816,2005,"CA","NJ"
"235","California","New Mexico",6141,2005,"CA","NM"
"236","California","New York",26079,2005,"CA","NY"
"237","California","North Carolina",16462,2005,"CA","NC"
"238","California","North Dakota",1449,2005,"CA","ND"
"239","California","Ohio",7969,2005,"CA","OH"
"240","California","Oklahoma",3153,2005,"CA","OK"
"241","California","Oregon",17194,2005,"CA","OR"
"242","California","Pennsylvania",9637,2005,"CA","PA"
"243","California","Puerto Rico",494,2005,"CA","PR"
"244","California","Rhode Island",1714,2005,"CA","RI"
"245","California","South Carolina",2311,2005,"CA","SC"
"246","California","South Dakota",1378,2005,"CA","SD"
"247","California","Tennessee",3790,2005,"CA","TN"
"248","California","Texas",36030,2005,"CA","TX"
"249","California","Utah",11421,2005,"CA","UT"
"250","California","Vermont",656,2005,"CA","VT"
"251","California","Virginia",15780,2005,"CA","VA"
"252","California","Washington",29727,2005,"CA","WA"
"253","California","West Virginia",329,2005,"CA","WV"
"254","California","Wisconsin",3958,2005,"CA","WI"
"255","California","Wyoming",1425,2005,"CA","WY"
"256","Colorado","Alabama",1495,2005,"CO","AL"
"257","Colorado","Alaska",2392,2005,"CO","AK"
"258","Colorado","Arizona",7018,2005,"CO","AZ"
"259","Colorado","Arkansas",1218,2005,"CO","AR"
"260","Colorado","California",25350,2005,"CO","CA"
"261","Colorado","Connecticut",565,2005,"CO","CT"
"262","Colorado","Delaware",123,2005,"CO","DE"
"263","Colorado","District of Columbia",555,2005,"CO","DC"
"264","Colorado","Florida",8463,2005,"CO","FL"
"265","Colorado","Georgia",3072,2005,"CO","GA"
"266","Colorado","Hawaii",494,2005,"CO","HI"
"267","Colorado","Idaho",1383,2005,"CO","ID"
"268","Colorado","Illinois",3889,2005,"CO","IL"
"269","Colorado","Indiana",2503,2005,"CO","IN"
"270","Colorado","Iowa",1610,2005,"CO","IA"
"271","Colorado","Kansas",4531,2005,"CO","KS"
"272","Colorado","Kentucky",1451,2005,"CO","KY"
"273","Colorado","Louisiana",1681,2005,"CO","LA"
"274","Colorado","Maine",655,2005,"CO","ME"
"275","Colorado","Maryland",1969,2005,"CO","MD"
"276","Colorado","Massachusetts",2089,2005,"CO","MA"
"277","Colorado","Michigan",1163,2005,"CO","MI"
"278","Colorado","Minnesota",3183,2005,"CO","MN"
"279","Colorado","Mississippi",1304,2005,"CO","MS"
"280","Colorado","Missouri",3409,2005,"CO","MO"
"281","Colorado","Montana",2695,2005,"CO","MT"
"282","Colorado","Nebraska",5204,2005,"CO","NE"
"283","Colorado","Nevada",3731,2005,"CO","NV"
"284","Colorado","New Hampshire",1508,2005,"CO","NH"
"285","Colorado","New Jersey",757,2005,"CO","NJ"
"286","Colorado","New Mexico",6547,2005,"CO","NM"
"287","Colorado","New York",6458,2005,"CO","NY"
"288","Colorado","North Carolina",4607,2005,"CO","NC"
"289","Colorado","North Dakota",1074,2005,"CO","ND"
"290","Colorado","Ohio",2870,2005,"CO","OH"
"291","Colorado","Oklahoma",2481,2005,"CO","OK"
"292","Colorado","Oregon",2478,2005,"CO","OR"
"293","Colorado","Pennsylvania",4581,2005,"CO","PA"
"294","Colorado","Puerto Rico",58,2005,"CO","PR"
"295","Colorado","Rhode Island",368,2005,"CO","RI"
"296","Colorado","South Carolina",1023,2005,"CO","SC"
"297","Colorado","South Dakota",1978,2005,"CO","SD"
"298","Colorado","Tennessee",2384,2005,"CO","TN"
"299","Colorado","Texas",14916,2005,"CO","TX"
"300","Colorado","Utah",5138,2005,"CO","UT"
"301","Colorado","Vermont",127,2005,"CO","VT"
"302","Colorado","Virginia",3260,2005,"CO","VA"
"303","Colorado","Washington",3650,2005,"CO","WA"
"304","Colorado","West Virginia",539,2005,"CO","WV"
"305","Colorado","Wisconsin",3498,2005,"CO","WI"
"306","Colorado","Wyoming",5690,2005,"CO","WY"
"307","Connecticut","Alabama",520,2005,"CT","AL"
"308","Connecticut","Alaska",310,2005,"CT","AK"
"309","Connecticut","Arizona",49,2005,"CT","AZ"
"310","Connecticut","Arkansas",0,2005,"CT","AR"
"311","Connecticut","California",3979,2005,"CT","CA"
"312","Connecticut","Colorado",887,2005,"CT","CO"
"313","Connecticut","Delaware",186,2005,"CT","DE"
"314","Connecticut","District of Columbia",1502,2005,"CT","DC"
"315","Connecticut","Florida",5265,2005,"CT","FL"
"316","Connecticut","Georgia",752,2005,"CT","GA"
"317","Connecticut","Hawaii",363,2005,"CT","HI"
"318","Connecticut","Idaho",0,2005,"CT","ID"
"319","Connecticut","Illinois",1841,2005,"CT","IL"
"320","Connecticut","Indiana",395,2005,"CT","IN"
"321","Connecticut","Iowa",75,2005,"CT","IA"
"322","Connecticut","Kansas",655,2005,"CT","KS"
"323","Connecticut","Kentucky",326,2005,"CT","KY"
"324","Connecticut","Louisiana",94,2005,"CT","LA"
"325","Connecticut","Maine",541,2005,"CT","ME"
"326","Connecticut","Maryland",2233,2005,"CT","MD"
"327","Connecticut","Massachusetts",7492,2005,"CT","MA"
"328","Connecticut","Michigan",1332,2005,"CT","MI"
"329","Connecticut","Minnesota",52,2005,"CT","MN"
"330","Connecticut","Mississippi",55,2005,"CT","MS"
"331","Connecticut","Missouri",341,2005,"CT","MO"
"332","Connecticut","Montana",143,2005,"CT","MT"
"333","Connecticut","Nebraska",109,2005,"CT","NE"
"334","Connecticut","Nevada",387,2005,"CT","NV"
"335","Connecticut","New Hampshire",1654,2005,"CT","NH"
"336","Connecticut","New Jersey",3485,2005,"CT","NJ"
"337","Connecticut","New Mexico",0,2005,"CT","NM"
"338","Connecticut","New York",26319,2005,"CT","NY"
"339","Connecticut","North Carolina",1735,2005,"CT","NC"
"340","Connecticut","North Dakota",0,2005,"CT","ND"
"341","Connecticut","Ohio",1463,2005,"CT","OH"
"342","Connecticut","Oklahoma",0,2005,"CT","OK"
"343","Connecticut","Oregon",200,2005,"CT","OR"
"344","Connecticut","Pennsylvania",3278,2005,"CT","PA"
"345","Connecticut","Puerto Rico",791,2005,"CT","PR"
"346","Connecticut","Rhode Island",3646,2005,"CT","RI"
"347","Connecticut","South Carolina",477,2005,"CT","SC"
"348","Connecticut","South Dakota",0,2005,"CT","SD"
"349","Connecticut","Tennessee",366,2005,"CT","TN"
"350","Connecticut","Texas",1612,2005,"CT","TX"
"351","Connecticut","Utah",42,2005,"CT","UT"
"352","Connecticut","Vermont",2016,2005,"CT","VT"
"353","Connecticut","Virginia",1656,2005,"CT","VA"
"354","Connecticut","Washington",634,2005,"CT","WA"
"355","Connecticut","West Virginia",140,2005,"CT","WV"
"356","Connecticut","Wisconsin",50,2005,"CT","WI"
"357","Connecticut","Wyoming",0,2005,"CT","WY"
"358","Delaware","Alabama",546,2005,"DE","AL"
"359","Delaware","Alaska",337,2005,"DE","AK"
"360","Delaware","Arizona",216,2005,"DE","AZ"
"361","Delaware","Arkansas",344,2005,"DE","AR"
"362","Delaware","California",933,2005,"DE","CA"
"363","Delaware","Colorado",211,2005,"DE","CO"
"364","Delaware","Connecticut",13,2005,"DE","CT"
"365","Delaware","District of Columbia",0,2005,"DE","DC"
"366","Delaware","Florida",1984,2005,"DE","FL"
"367","Delaware","Georgia",600,2005,"DE","GA"
"368","Delaware","Hawaii",0,2005,"DE","HI"
"369","Delaware","Idaho",222,2005,"DE","ID"
"370","Delaware","Illinois",688,2005,"DE","IL"
"371","Delaware","Indiana",21,2005,"DE","IN"
"372","Delaware","Iowa",0,2005,"DE","IA"
"373","Delaware","Kansas",82,2005,"DE","KS"
"374","Delaware","Kentucky",157,2005,"DE","KY"
