"","state_to","state_from","net_flow","year","st_to","st_from"
"19976","Alaska","Oklahoma",665,2021,"AK","OK"
"19977","Alaska","Oregon",19,2021,"AK","OR"
"19978","Pennsylvania","Alaska",572,2021,"PA","AK"
"19979","Rhode Island","Alaska",241,2021,"RI","AK"
"19980","South Carolina","Alaska",81,2021,"SC","AK"
"19981","Alaska","South Dakota",221,2021,"AK","SD"
"19982","Tennessee","Alaska",7,2021,"TN","AK"
"19983","Alaska","Texas",976,2021,"AK","TX"
"19984","Utah","Alaska",110,2021,"UT","AK"
"19985","Alaska","Vermont",0,2021,"AK","VT"
"19986","Virginia","Alaska",569,2021,"VA","AK"
"19987","Washington","Alaska",402,2021,"WA","AK"
"19988","Alaska","West Virginia",0,2021,"AK","WV"
"19989","Wisconsin","Alaska",127,2021,"WI","AK"
"19990","Wyoming","Alaska",24,2021,"WY","AK"
"19991","Alaska","Puerto Rico",205,2021,"AK","PR"
"19992","Arkansas","Arizona",762,2021,"AR","AZ"
"19993","Arizona","California",41983,2021,"AZ","CA"
"19994","Colorado","Arizona",1845,2021,"CO","AZ"
"19995","Arizona","Connecticut",2044,2021,"AZ","CT"
