"","state_to","state_from","net_flow","year","st_to","st_from"
"20496","North Dakota","Illinois",419,2021,"ND","IL"
"20497","Ohio","Illinois",7073,2021,"OH","IL"
"20498","Oklahoma","Illinois",2103,2021,"OK","IL"
"20499","Oregon","Illinois",438,2021,"OR","IL"
"20500","Pennsylvania","Illinois",2162,2021,"PA","IL"
"20501","Illinois","Rhode Island",319,2021,"IL","RI"
"20502","South Carolina","Illinois",2608,2021,"SC","IL"
"20503","Illinois","South Dakota",73,2021,"IL","SD"
"20504","Tennessee","Illinois",9873,2021,"TN","IL"
"20505","Texas","Illinois",5339,2021,"TX","IL"
"20506","Utah","Illinois",406,2021,"UT","IL"
"20507","Vermont","Illinois",57,2021,"VT","IL"
"20508","Virginia","Illinois",975,2021,"VA","IL"
"20509","Illinois","Washington",207,2021,"IL","WA"
"20510","Illinois","West Virginia",582,2021,"IL","WV"
"20511","Wisconsin","Illinois",16845,2021,"WI","IL"
"20512","Wyoming","Illinois",636,2021,"WY","IL"
"20513","Puerto Rico","Illinois",809,2021,"PR","IL"
"20514","Iowa","Indiana",878,2021,"IA","IN"
"20515","Kansas","Indiana",303,2021,"KS","IN"
"20516","Indiana","Kentucky",1932,2021,"IN","KY"
"20517","Louisiana","Indiana",24,2021,"LA","IN"
"20518","Maine","Indiana",89,2021,"ME","IN"
"20519","Indiana","Maryland",2057,2021,"IN","MD"
"20520","Indiana","Massachusetts",1750,2021,"IN","MA"
"20521","Michigan","Indiana",1412,2021,"MI","IN"
"20522","Indiana","Minnesota",1110,2021,"IN","MN"
"20523","Indiana","Mississippi",243,2021,"IN","MS"
"20524","Indiana","Missouri",194,2021,"IN","MO"
"20525","Indiana","Montana",17,2021,"IN","MT"
"20526","Indiana","Nebraska",52,2021,"IN","NE"
"20527","Indiana","Nevada",268,2021,"IN","NV"
"20528","New Hampshire","Indiana",56,2021,"NH","IN"
"20529","New Jersey","Indiana",3218,2021,"NJ","IN"
"20530","New Mexico","Indiana",595,2021,"NM","IN"
"20531","Indiana","New York",2956,2021,"IN","NY"
"20532","North Carolina","Indiana",846,2021,"NC","IN"
"20533","Indiana","North Dakota",1,2021,"IN","ND"
"20534","Indiana","Ohio",4578,2021,"IN","OH"
"20535","Indiana","Oklahoma",116,2021,"IN","OK"
"20536","Indiana","Oregon",2470,2021,"IN","OR"
"20537","Indiana","Pennsylvania",774,2021,"IN","PA"
"20538","Rhode Island","Indiana",502,2021,"RI","IN"
"20539","South Carolina","Indiana",391,2021,"SC","IN"
"20540","South Dakota","Indiana",417,2021,"SD","IN"
"20541","Tennessee","Indiana",3328,2021,"TN","IN"
"20542","Texas","Indiana",3982,2021,"TX","IN"
"20543","Utah","Indiana",463,2021,"UT","IN"
"20544","Indiana","Vermont",183,2021,"IN","VT"
"20545","Indiana","Virginia",416,2021,"IN","VA"
"20546","Indiana","Washington",1091,2021,"IN","WA"
"20547","West Virginia","Indiana",334,2021,"WV","IN"
"20548","Indiana","Wisconsin",2964,2021,"IN","WI"
"20549","Indiana","Wyoming",710,2021,"IN","WY"
"20550","Indiana","Puerto Rico",1372,2021,"IN","PR"
"20551","Kansas","Iowa",449,2021,"KS","IA"
"20552","Kentucky","Iowa",528,2021,"KY","IA"
"20553","Louisiana","Iowa",259,2021,"LA","IA"
"20554","Maine","Iowa",376,2021,"ME","IA"
"20555","Iowa","Maryland",178,2021,"IA","MD"
"20556","Massachusetts","Iowa",705,2021,"MA","IA"
"20557","Michigan","Iowa",718,2021,"MI","IA"
"20558","Iowa","Minnesota",2370,2021,"IA","MN"
"20559","Iowa","Mississippi",136,2021,"IA","MS"
"20560","Missouri","Iowa",1749,2021,"MO","IA"
"20561","Iowa","Montana",273,2021,"IA","MT"
"20562","Iowa","Nebraska",2002,2021,"IA","NE"
"20563","Nevada","Iowa",28,2021,"NV","IA"
"20564","Iowa","New Hampshire",27,2021,"IA","NH"
"20565","Iowa","New Jersey",434,2021,"IA","NJ"
"20566","Iowa","New Mexico",121,2021,"IA","NM"
"20567","New York","Iowa",643,2021,"NY","IA"
"20568","North Carolina","Iowa",221,2021,"NC","IA"
"20569","North Dakota","Iowa",343,2021,"ND","IA"
"20570","Ohio","Iowa",874,2021,"OH","IA"
"20571","Oklahoma","Iowa",470,2021,"OK","IA"
"20572","Iowa","Oregon",3009,2021,"IA","OR"
"20573","Pennsylvania","Iowa",756,2021,"PA","IA"
"20574","Rhode Island","Iowa",248,2021,"RI","IA"
"20575","South Carolina","Iowa",827,2021,"SC","IA"
"20576","South Dakota","Iowa",1490,2021,"SD","IA"
"20577","Iowa","Tennessee",729,2021,"IA","TN"
"20578","Texas","Iowa",3221,2021,"TX","IA"
"20579","Iowa","Utah",784,2021,"IA","UT"
"20580","Vermont","Iowa",292,2021,"VT","IA"
"20581","Iowa","Virginia",86,2021,"IA","VA"
"20582","Iowa","Washington",474,2021,"IA","WA"
"20583","Iowa","West Virginia",77,2021,"IA","WV"
"20584","Iowa","Wisconsin",826,2021,"IA","WI"
"20585","Wyoming","Iowa",10,2021,"WY","IA"
